Appelation;Mise_sous;Commentaire (X=à ignorer);Nb;First;Last;Mea_Sp;Mea_Su;Mea_Au;Mea_Wi
Chaetoceros danicus;Chaetoceros;;358;17/09/1987;30/12/2019;3411.44;2512.52;1545.48;1108.33
Chaetoceros debilis;Chaetoceros;;6;02/10/2009;28/07/2011;NA;1400;471900;1466.67
Chaetoceros decipiens;Chaetoceros;;15;15/12/2009;28/10/2019;800;1686;3895.86;1600
Chaetoceros decipiens + lorenzianus;Chaetoceros;;52;07/09/1988;13/04/2018;5527.8;19339.67;9867.15;733.33
Chaetoceros densus;Chaetoceros;;4;20/08/2012;22/03/2018;1300;600;400;NA
Chaetoceros densus + eibenii + borealis + castracanei;Chaetoceros;;5;23/04/2009;20/05/2019;8115;NA;550;400
Chaetoceros diadema;;;6;03/07/2007;05/04/2018;966.67;3900;9200;NA
Chaetoceros didymus;Chaetoceros didymus + protuberans;;6;19/07/2010;05/08/2019;NA;7740.33;NA;NA
Chaetoceros didymus + protuberans;;;70;16/08/1988;02/09/2019;20600;14724.57;7475.67;600
Chaetoceros fragilis + wighamii + diversus;Chaetoceros;;17;17/10/2011;06/10/2015;7000;16600;4566.67;2360
Chaetoceros lauderi;Chaetoceros;;1;28/08/2019;28/08/2019;NA;600;NA;NA
Chaetoceros rostratus;Chaetoceros;;23;24/11/2010;02/12/2019;NA;3800.33;3460.3;3986.5
Chaetoceros socialis;Chaetoceros socialis + socialis f. radians;;11;28/10/2008;21/11/2018;154910.33;415933.4;115615;29818
Chaetoceros socialis + socialis f. radians;;;221;07/07/1987;28/08/2019;288486.25;707030.34;311790.95;31854.31
Chaetoceros socialis f. radians;Chaetoceros socialis + socialis f. radians;;29;06/04/2009;16/09/2019;68944.5;816215.82;42973;12725
Chaetoceros subtilis;Chaetoceros;;4;20/06/2012;03/09/2019;NA;1077;3050;NA
Chaetoceros wighamii;Chaetoceros;;1;16/01/2012;16/01/2012;NA;NA;NA;2400
Chattonella;Chattonellales;;5;20/10/1993;23/08/1996;1250;266.67;625;NA
Chattonellales;;;1;12/09/2005;12/09/2005;NA;NA;400;NA
Chlorophyceae;X;nano;50;15/12/1987;08/08/2012;61050.5;15300.76;12667.69;4627.25
Choanofila;X;;3;27/05/2013;06/06/2016;307542;24700;NA;NA
Chrysochromulina;X;;8;05/06/2003;16/05/2013;1754;284125;900;400
Chrysophyceae;;;11;22/09/2003;09/04/2018;1644;27740;74754;877
Ciliophora;;;1067;10/05/1988;16/12/2019;2091.27;3157.97;1564.54;796.86
Coccolithaceae;;;1;14/08/2019;14/08/2019;NA;100;NA;NA
Coccolithus;Coccolithaceae;;1;13/02/2012;13/02/2012;NA;NA;NA;200
Cocconeis;Bacillariaceae;;16;05/08/1987;02/12/2002;66.67;100;100;283.33
Coccosphaerales;X;;38;04/10/2002;19/05/2010;580;1611.11;1207.69;257.14
Cochlodinium;;;4;10/03/1994;01/09/2008;100;NA;600;NA
Cochlodinium polykrikoides;Cochlodinium;;5;25/08/2010;02/07/2012;NA;700;NA;NA
Corethron;;;5;08/03/2011;29/12/2015;488.5;200;NA;100
Corethron pennatum;Corethron;;9;14/09/1992;20/02/2017;800;100;175;133.33
Coscinodiscus;Coscinodiscus + Stellarima;;63;28/10/2008;02/12/2019;552.17;490.14;535.06;218.14
Coscinodiscus + Stellarima;;;455;21/05/1987;30/12/2019;1153.19;1117.19;1242.65;522.94
Coscinodiscus radiatus + marginatus;Coscinodiscus + Stellarima;;8;14/10/1987;03/02/1995;100;400;100;200
Crucigenia;X;;1;02/06/2003;02/06/2003;NA;3200;NA;NA
Cryptophyceae;;;550;22/02/2000;30/12/2019;64416.65;192638.41;53399.5;12647.2
Cyanophyceae;;;2;26/07/1990;05/04/2000;1200;200;NA;NA
